gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
665715475	StillImage	x-unknown	https://fm-digital-assets.fieldmuseum.org/2211/793/FMNH_M_27183_Papio_cranium_raw.obj		FMNH M 27183 Papio cranium raw	FMNH M 27183 Papio cranium raw data.  Additional data on the supplementary tab.			2014-07	Ryan Knigge : University of Missouri-Columbia			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715475				http://fm-digital-assets.fieldmuseum.org/2211/793/FMNH_M_27183_Papio_cranium_raw.obj										
665715475	StillImage	x-unknown	https://fm-digital-assets.fieldmuseum.org/2211/794/FMNH_M_27183_Papio_mandible_raw.obj		FMNH M 27183 Papio mandible raw	FMNH M 27183 Papio mandible raw data.  Additional data on the supplementary tab.			2014-07	Ryan Knigge : University of Missouri-Columbia			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715475	StillImage	x-unknown	https://fm-digital-assets.fieldmuseum.org/2212/006/FMNH_M_27183_Papio_mandible.ply		FMNH M 27183 Papio mandible	FMNH M 27183 Papio mandible 3D model.			2014-07	Ryan Knigge : University of Missouri-Columbia			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715475				http://fm-digital-assets.fieldmuseum.org/2212/006/FMNH_M_27183_Papio_mandible.ply										
665715844				http://fm-digital-asse										
665715844	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/554/197516_Lateral_RB01_MZ.jpg		197516	FMNH 197516 Rhinolophus blasii; lateral view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715844	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/553/197516_FullLateral_RB01_MZ.jpg		197516	FMNH 197516 Rhinolophus blasii; full lateral view of the skull.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715844	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/552/197516_Dorsal_RB01_MZ.jpg		197516	FMNH 197516 Rhinolophus blasii; dorsal view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715844	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/724/553/197516_FullLateral_RB01_MZ.jpg											
